"city","total_providers","active_receivers","total_food_listed","total_claims","completed_claims","pending_claims","success_rate"
East Heatherport,1,4,13,12,4,1,33.33
Jamesfurt,1,3,9,9,3,3,33.33
Lake Andrewmouth,1,3,9,9,3,4,33.33
South Kathryn,1,5,9,7,5,1,71.43
East John,1,1,7,7,1,3,14.29
New Carol,2,4,10,7,4,1,57.14
East Stephanie,1,3,6,6,3,3,50.00
Devinmouth,1,4,6,6,4,1,66.67
Thomasville,1,1,6,6,1,3,16.67
Phillipsfort,2,3,7,6,3,2,50.00
Timothychester,1,2,7,6,2,1,33.33
East Austin,1,0,6,6,0,3,0.00
Perezport,1,3,7,5,3,2,60.00
Anneville,1,2,6,5,2,2,40.00
Jordanborough,1,2,6,5,2,1,40.00
North William,1,2,6,5,2,3,40.00
Lake Stephen,1,1,5,5,1,3,20.00
North Stevenbury,1,1,5,5,1,2,20.00
North Sherrimouth,1,2,6,5,2,1,40.00
North Kevinhaven,2,1,7,5,1,4,20.00
Frederickside,1,2,6,5,2,3,40.00
Zimmermanville,1,4,6,5,4,0,80.00
Clarkberg,1,3,5,5,3,1,60.00
Stevenchester,1,1,5,5,1,2,20.00
New Curtis,1,1,5,5,1,3,20.00
Williamsmouth,1,0,5,5,0,2,0.00
East Terrancemouth,1,1,5,5,1,2,20.00
Maxwellburgh,1,1,5,5,1,1,20.00
West Adam,1,2,4,4,2,1,50.00
South Justinborough,1,1,4,4,1,1,25.00
Louismouth,1,2,4,4,2,0,50.00
West Billborough,1,1,4,4,1,3,25.00
East Tammy,1,1,4,4,1,1,25.00
Coleburgh,1,4,5,4,4,0,100.00
West Kevin,1,2,5,4,2,1,50.00
North Ianbury,1,0,5,4,0,3,0.00
Watsonstad,1,0,4,4,0,3,0.00
Allenton,1,1,4,4,1,3,25.00
Carolchester,1,0,5,4,0,2,0.00
Port Robin,1,0,5,4,0,2,0.00
Leslieville,1,2,5,4,2,1,50.00
Jeffreyshire,1,1,4,4,1,2,25.00
South Lisaberg,1,2,5,4,2,0,50.00
Brittanyside,1,1,5,4,1,1,25.00
Maysside,1,1,4,4,1,0,25.00
South Stefanietown,1,2,4,4,2,1,50.00
South Bradleyburgh,1,1,4,4,1,0,25.00
East Candace,1,2,4,4,2,2,50.00
West Whitneymouth,1,1,4,4,1,0,25.00
Lewisberg,1,0,4,4,0,2,0.00
New Denise,1,0,5,4,0,1,0.00
Bradleyport,2,1,6,4,1,2,25.00
Davidville,1,1,5,4,1,1,25.00
Jasonmouth,1,3,4,4,3,1,75.00
East Sandratown,1,2,5,4,2,0,50.00
Donnaborough,1,1,4,4,1,1,25.00
Roachhaven,1,2,4,4,2,1,50.00
North Mike,1,2,5,4,2,1,50.00
New Baileyfort,1,1,4,4,1,1,25.00
Port Karen,1,1,4,4,1,2,25.00
East Garyton,1,1,3,3,1,2,33.33
North Keith,1,1,5,3,1,2,33.33
North Katherineshire,1,1,3,3,1,2,33.33
North Katelyn,1,1,3,3,1,0,33.33
North James,1,0,4,3,0,2,0.00
North Charlesside,1,0,3,3,0,2,0.00
Walterborough,1,2,3,3,2,0,66.67
New Travisshire,1,0,3,3,0,1,0.00
New John,1,2,4,3,2,0,66.67
New Jessica,1,0,3,3,0,1,0.00
New Ginaborough,1,2,3,3,2,1,66.67
New Evanport,1,1,3,3,1,1,33.33
Vazquezshire,1,2,3,3,2,1,66.67
East Roberthaven,1,1,3,3,1,0,33.33
Muellermouth,1,0,4,3,0,3,0.00
Michaelton,1,2,3,3,2,1,66.67
Michaelport,1,0,4,3,0,1,0.00
Woodport,1,1,3,3,1,1,33.33
Erikatown,1,0,3,3,0,2,0.00
Mendezmouth,1,1,3,3,1,0,33.33
Marymouth,1,2,4,3,2,0,66.67
Toddstad,1,2,3,3,2,0,66.67
Toddberg,1,1,3,3,1,0,33.33
Manuelhaven,1,1,3,3,1,2,33.33
Lindseyland,1,1,3,3,1,1,33.33
Brittanyland,1,0,4,3,0,1,0.00
Lindseybury,1,0,4,3,0,1,0.00
Lewishaven,1,1,3,3,1,0,33.33
Lesterstad,1,0,3,3,0,0,0.00
Gutierrezshire,1,1,3,3,1,0,33.33
Adambury,1,2,3,3,2,1,66.67
Harrisonbury,1,1,3,3,1,1,33.33
Lake Theresa,1,2,3,3,2,0,66.67
Lake Mistyton,1,0,3,3,0,3,0.00
Lake Kari,1,1,3,3,1,1,33.33
Hestermouth,1,1,3,3,1,1,33.33
Brittanyville,1,2,3,3,2,0,66.67
Lake April,1,0,3,3,0,1,0.00
Lake Amymouth,1,2,4,3,2,0,66.67
Joneshaven,1,0,3,3,0,2,0.00
Jasonstad,1,0,3,3,0,1,0.00
Jonathanstad,2,1,5,3,1,1,33.33
Jonathanhaven,1,1,3,3,1,1,33.33
South Tiffanyfort,1,0,4,3,0,0,0.00
Andreaborough,1,1,3,3,1,0,33.33
Cameronside,1,2,4,3,2,1,66.67
South Jillshire,1,0,3,3,0,0,0.00
Westmouth,1,2,3,3,2,1,66.67
South Christopherborough,3,2,5,3,2,0,66.67
South Alicia,1,2,3,3,2,1,66.67
Shortfurt,1,3,3,3,3,0,100.00
West Sharonview,1,0,3,3,0,2,0.00
Russellfurt,1,2,3,3,2,1,66.67
West Lauraborough,2,2,5,3,2,0,66.67
Cisnerostown,1,0,4,3,0,1,0.00
Reidland,1,0,3,3,0,2,0.00
Port Robertport,1,0,3,3,0,0,0.00
Cunninghambury,1,2,3,3,2,1,66.67
Danachester,1,2,3,3,2,0,66.67
Darrylchester,1,1,4,3,1,1,33.33
West Karen,1,1,3,3,1,2,33.33
West Danielborough,1,1,3,3,1,1,33.33
Port Patrick,2,1,4,3,1,0,33.33
