"City","total_providers","total_receivers"
South Christopherborough,3,0
New Carol,3,0
East Lisa,2,0
New Zachary,2,0
Lake Kyle,2,0
Port Patrick,2,0
Leslieville,2,0
North Michelle,2,1
East Stephanie,2,0
Davidville,2,0
Tammyside,2,0
New Richard,2,0
East Jennifer,2,0
North Ashley,2,0
New Daniel,2,1
Jonathanstad,2,0
West Lauraborough,2,0
East Melissa,2,0
North Julieburgh,2,0
New John,2,0
Bradleyport,2,0
East Anthony,2,0
Lake Regina,2,0
Jamesport,2,0
Williamview,2,0
South Thomas,2,0
New Larry,2,0
Phillipsfort,2,0
North Kevinhaven,2,0
Lake Benjamin,2,0
New Lisa,2,0
West Christopher,2,1
Lake Michael,2,1
New Amanda,2,0
Port Melissa,2,1
Barryside,1,0
Bartonborough,1,0
Basstown,1,0
Batesstad,1,0
Beasleyhaven,1,0
Belindaville,1,0
Bellport,1,0
Benjaminstad,1,0
Bentleyburgh,1,0
Bentonfurt,1,0
Blaketown,1,0
Bonillahaven,1,0
Boylechester,1,0
Bradleyborough,1,0
Bradleyview,1,0
Brandyberg,1,0
Brendantown,1,0
Brennanstad,1,0
Brewerfort,1,0
Brianside,1,0
Bridgetside,1,0
Brittanyland,1,0
Brittanyport,1,0
Brittanyside,1,0
Brittanyville,1,0
Brookeland,1,0
Brownberg,1,0
Brownchester,1,0
Browninghaven,1,0
Brownshire,1,0
Brownton,1,0
Browntown,1,0
Bryantton,1,0
Butlerview,1,0
Cabreraberg,1,0
Callahanside,1,0
Cameronside,1,0
Campbellbury,1,0
Campbellchester,1,1
Cannonside,1,0
Carlborough,1,0
Carlbury,1,0
Carolchester,1,0
Carrport,1,0
Cassandraville,1,0
Castilloport,1,0
Chadview,1,0
Chambersfort,1,0
Charlesland,1,0
Charlesmouth,1,0
Charlesview,1,0
Chelseaside,1,0
Chelseyfort,1,0
Christianfurt,1,0
Christinaland,1,1
Christinamouth,1,0
Christinetown,1,0
Christopherchester,1,2
Christopherside,1,0
Christopherstad,1,0
Christopherton,1,0
Cindyshire,1,0
Cisnerostown,1,0
Clarkberg,1,0
Codyview,1,0
Coleburgh,1,0
Colemanton,1,0
Collinsmouth,1,0
Collinston,1,0
Connieside,1,0
Contrerasberg,1,0
Coopermouth,1,0
Copelandchester,1,0
Cordovaborough,1,0
Courtneychester,1,0
Crystalborough,1,0
Cummingstown,1,0
Cunninghambury,1,0
Danachester,1,0
Danaville,1,0
Dannybury,1,0
Darrellfurt,1,0
Darrylchester,1,0
Davidborough,1,0
Davidchester,1,0
Davidland,1,1
Davidport,1,1
Davisshire,1,0
Davisview,1,0
Deanport,1,0
Deborahfurt,1,0
Deborahland,1,0
Deckermouth,1,0
Derekland,1,0
Derekport,1,0
Derekshire,1,0
Devinmouth,1,0
Devinton,1,0
Donnaborough,1,0
Drakeville,1,0
Durhamchester,1,0
East Aaron,1,0
East Alexisberg,1,0
East Amyfurt,1,0
East Amymouth,1,0
East Andrea,1,0
East Andrewland,1,0
East Angela,1,0
East Angelafort,1,0
East Annshire,1,0
East Ashleyshire,1,1
East Austin,1,0
East Benjaminland,1,0
East Bernard,1,0
East Brittanyland,1,0
East Candace,1,0
East Caseyfort,1,0
East Christophertown,1,0
East Courtneymouth,1,0
East Craig,1,0
East Cynthia,1,0
East Darrell,1,0
East Deborah,1,0
East Deniseborough,1,0
East Donnafort,1,0
East Edwinburgh,1,0
East Elizabeth,1,0
East Elizabethberg,1,0
East Emily,1,1
East Emilyburgh,1,0
East Garyton,1,0
East Heather,1,0
East Heatherport,1,0
East Jacobchester,1,0
East Janet,1,0
East Jesse,1,0
East John,1,1
East Johnburgh,1,0
East Joseph,1,1
East Kevin,1,1
East Kimberly,1,0
East Laura,1,0
East Laurashire,1,0
East Lauren,1,0
East Lindsayville,1,0
East Lori,1,0
East Meganfort,1,0
East Michael,1,2
East Michelle,1,0
East Nicholasbury,1,0
East Phillipton,1,0
East Richardside,1,0
East Robert,1,1
East Roberthaven,1,0
East Robertton,1,0
East Rossside,1,0
East Samantha,1,0
East Sandra,1,0
East Sandratown,1,0
East Shanestad,1,0
East Sheena,1,0
East Sonyaport,1,0
East Stephanieview,1,0
East Tammy,1,0
East Terrancemouth,1,0
East Timothy,1,0
East Williamburgh,1,0
East Williamshire,1,0
Edwardsbury,1,0
Elliottberg,1,0
Ericfort,1,0
Erikatown,1,0
Estradafort,1,0
Evansmouth,1,0
Fisherstad,1,0
Flemingport,1,0
Floresville,1,0
Fowlerbury,1,0
Francisshire,1,0
Frederickside,1,0
Frostberg,1,0
Fullerborough,1,0
Gaineschester,1,0
Galvanfurt,1,0
Garciaberg,1,0
Garciamouth,1,0
Garciaport,1,0
Garciaside,1,0
Garciatown,1,0
Gardnerfort,1,0
Garzaville,1,0
Gibsonfort,1,0
Ginaview,1,1
Gomezfurt,1,0
Gonzalesport,1,0
Grahamside,1,0
Gutierrezshire,1,0
Hamiltontown,1,0
Harrishaven,1,0
Harrisonbury,1,0
Hawkinsmouth,1,0
Hayesville,1,0
Heathborough,1,0
Heathermouth,1,0
Heatherside,1,0
Heatherview,1,0
Henrychester,1,0
Herbertbury,1,0
Hestermouth,1,0
Hillburgh,1,0
Hollyhaven,1,0
Holtmouth,1,0
Huberstad,1,0
Huntermouth,1,1
Jameschester,1,0
Jamesfurt,1,0
Jamesview,1,1
Jamesville,1,0
Janetborough,1,0
Jasmineberg,1,0
Jasminechester,1,0
Jasonland,1,0
Jasonmouth,1,0
Jasonstad,1,0
Jefferyside,1,0
Jeffreyburgh,1,0
Jeffreybury,1,0
Jeffreyport,1,0
Jeffreyshire,1,0
Jennifertown,1,0
Jenniferview,1,0
Jenniferville,1,0
Jeremiahfort,1,0
Jessestad,1,0
Jessicaland,1,1
Jimmyberg,1,0
Jimmymouth,1,0
Johnport,1,0
Johnsonborough,1,0
Johnsonside,1,0
Johnstonhaven,1,0
Johnton,1,0
Jonathanhaven,1,0
Jonathanmouth,1,0
Joneshaven,1,0
Jonesport,1,0
Jonestown,1,0
Jordanberg,1,0
Jordanborough,1,0
Jordanhaven,1,0
Josephburgh,1,0
Joseville,1,0
Joshuastad,1,0
Judystad,1,0
Justinhaven,1,0
Kaitlynville,1,0
Karentown,1,0
Katherineborough,1,0
Katherinefurt,1,0
Kayleefort,1,0
Keithburgh,1,0
Kellyberg,1,0
Kellytown,1,0
Kennedychester,1,0
Kentland,1,0
Kevinfort,1,0
Kimberlychester,1,0
Kylehaven,1,0
Lake Alexis,1,0
Lake Alicia,1,0
Lake Allen,1,0
Lake Amymouth,1,0
Lake Andrewmouth,1,0
Lake Anthonyport,1,0
Lake April,1,0
Lake Bianca,1,0
Lake Brendaland,1,0
Lake Carlos,1,0
Lake Cathy,1,0
Lake Charleston,1,0
Lake Cheryl,1,0
Lake Chloeshire,1,0
Lake Christinaborough,1,0
Lake Christopherburgh,1,0
Lake Christophermouth,1,0
Lake Coryhaven,1,0
Lake Deborah,1,0
Lake Dennischester,1,0
Lake Devon,1,0
Lake Diane,1,0
Lake Donaldchester,1,0
Lake Donaldmouth,1,0
Lake Donna,1,0
Lake Ethanview,1,0
Lake Gary,1,0
Lake George,1,0
Lake Heather,1,0
Lake Jaclyn,1,0
Lake James,1,0
Lake Jamestown,1,0
Lake Jasmin,1,0
Lake Jason,1,0
Lake Jefferyborough,1,0
Lake Jeffreytown,1,0
Lake Jessicamouth,1,0
Lake Jesusview,1,0
Lake Joelshire,1,0
Lake Joseph,1,0
Lake Josephton,1,0
Lake Justin,1,0
Lake Karenfurt,1,0
Lake Kari,1,0
Lake Katherinechester,1,0
Lake Kelly,1,0
Lake Kendramouth,1,0
Lake Kristentown,1,0
Lake Larry,1,0
Lake Latasha,1,0
Lake Lauraton,1,0
Lake Lauren,1,0
Lake Lindsay,1,0
Lake Lindsey,1,0
Lake Lisa,1,0
Lake Lorrainefort,1,0
Lake Maria,1,0
Lake Michaelchester,1,0
Lake Michaelfurt,1,0
Lake Michaelview,1,0
Lake Mistyton,1,0
Lake Monique,1,0
Lake Nathan,1,0
Lake Nicolebury,1,0
Lake Rachael,1,0
Lake Raymondton,1,0
Lake Richardhaven,1,0
Lake Ryanbury,1,0
Lake Sarah,1,0
Lake Shelby,1,0
Lake Stephen,1,0
Lake Tamara,1,0
Lake Theresa,1,0
Lake Traceyburgh,1,0
Lake Travis,1,0
Lake Vanessa,1,0
Lake Vanessaland,1,0
Lake Xavierburgh,1,0
Lamberttown,1,0
Latoyaberg,1,0
Laurietown,1,0
Leeburgh,1,0
Leonardborough,1,0
Leonfort,1,0
Lesterstad,1,0
Leville,1,0
Levytown,1,0
Lewisberg,1,0
Lewishaven,1,0
Liberg,1,0
Linchester,1,0
Lindseybury,1,0
Lindseyland,1,0
Lisaborough,1,1
Lisafort,1,0
Lisamouth,1,0
Longland,1,0
Lopezmouth,1,0
Lopezport,1,0
Louismouth,1,0
Lucasmouth,1,0
Madelinechester,1,0
Madisonfort,1,0
Manningshire,1,0
Manuelhaven,1,0
Marcstad,1,0
Marissaville,1,0
Markberg,1,0
Markborough,1,0
Markport,1,0
Marthaside,1,0
Martinezfort,1,0
Martinville,1,0
Marymouth,1,0
Matthewbury,1,0
Maxwellburgh,1,0
Maynardstad,1,0
Maysside,1,0
Mcclainfurt,1,0
Mckinneymouth,1,0
Medinatown,1,0
Meganshire,1,0
Meghanfurt,1,0
Mendezmouth,1,0
Mendozastad,1,0
Meyersland,1,0
Michaelport,1,0
Michaelton,1,1
Michaelview,1,0
Michellechester,1,0
Mikaylachester,1,0
Millerstad,1,0
Millerview,1,0
Mitchellmouth,1,0
Mooneybury,1,0
Mooremouth,1,0
Mooreview,1,0
Moralesberg,1,0
Moralesside,1,0
Morganhaven,1,0
Morganside,1,0
Morriston,1,0
Mortonfort,1,0
Moseshaven,1,0
Muellermouth,1,0
Murphyberg,1,0
Murrayborough,1,0
Myerschester,1,0
Nathanielbury,1,0
New Aaronberg,1,0
New Baileyfort,1,0
New Billy,1,0
New Bobbytown,1,0
New Calebberg,1,0
New Connorfort,1,0
New Crystal,1,0
New Curtis,1,0
New David,1,0
New Dawnborough,1,0
New Denise,1,0
New Douglas,1,0
New Emily,1,0
New Erica,1,0
New Evanport,1,0
New Frank,1,0
New Ginaborough,1,0
New Hannah,1,0
New Heidi,1,0
New Hollyfurt,1,0
New Jacob,1,0
New Jamesburgh,1,0
New Jason,1,1
New Jenniferbury,1,0
New Jeremyberg,1,0
New Jessica,1,1
New Joel,1,0
New Johnfurt,1,0
New Josemouth,1,0
New Joshuamouth,1,0
New Kevintown,1,0
New Leslieport,1,0
New Matthew,1,0
New Michaelmouth,1,0
New Michelle,1,0
New Monicaside,1,0
New Natasha,1,0
New Ninashire,1,0
New Rachel,1,0
New Rhonda,1,0
New Ricky,1,0
New Robert,1,1
New Robertland,1,0
New Robertstad,1,0
New Rodneyville,1,0
New Ryanbury,1,0
New Samuel,1,0
New Steven,1,1
New Tammyland,1,0
