"Food_ID","Food_Name","Food_Type","Meal_Type","Location","number_of_claims","available_quantity"
463,Soup,Vegan,Lunch,Jamesfurt,5,36
486,Chicken,Vegan,Snacks,Timothychester,5,9
548,Fish,Vegan,Snacks,North William,5,26
925,Salad,Non-Vegetarian,Lunch,West Billborough,4,12
981,Dairy,Vegan,Breakfast,Stevenchester,4,47
251,Dairy,Non-Vegetarian,Lunch,Devinmouth,4,12
92,Chicken,Vegetarian,Breakfast,East Heatherport,4,42
190,Salad,Non-Vegetarian,Snacks,New Carol,4,25
674,Vegetables,Vegetarian,Lunch,Anneville,4,34
35,Rice,Vegan,Breakfast,East Austin,4,6
696,Rice,Non-Vegetarian,Snacks,East Heatherport,4,26
886,Bread,Vegetarian,Breakfast,South Justinborough,4,48
797,Dairy,Vegan,Breakfast,Phillipsfort,4,40
832,Fish,Non-Vegetarian,Breakfast,East Heatherport,4,19
520,Fish,Non-Vegetarian,Breakfast,New Baileyfort,4,23
882,Salad,Vegan,Lunch,North Sherrimouth,4,43
217,Soup,Vegetarian,Lunch,Bradleyport,4,42
915,Vegetables,Non-Vegetarian,Snacks,Port Karen,4,35
861,Dairy,Non-Vegetarian,Dinner,Roachhaven,4,45
964,Rice,Vegan,Dinner,Leslieville,3,46
16,Dairy,Vegan,Snacks,East Tammy,3,6
622,Fish,Vegan,Snacks,Jordanborough,3,17
615,Salad,Vegetarian,Breakfast,Lake Theresa,3,11
241,Fish,Vegetarian,Breakfast,East Candace,3,4
465,Rice,Vegetarian,Snacks,Darrylchester,3,32
798,Fish,Vegetarian,Lunch,North Mike,3,3
743,Chicken,Vegan,Breakfast,Brittanyside,3,46
380,Soup,Non-Vegetarian,Snacks,Harrisonbury,3,26
744,Fish,Non-Vegetarian,Snacks,North Katelyn,3,13
606,Pasta,Vegetarian,Dinner,New Ginaborough,3,36
579,Dairy,Vegetarian,Breakfast,Lake Stephen,3,44
374,Chicken,Vegan,Lunch,South Kathryn,3,44
670,Salad,Non-Vegetarian,Snacks,Toddstad,3,37
730,Soup,Vegan,Lunch,Lewisberg,3,15
870,Fish,Vegetarian,Breakfast,Cameronside,3,3
460,Dairy,Vegetarian,Dinner,Vazquezshire,3,45
505,Pasta,Vegetarian,Snacks,New Denise,3,12
837,Soup,Vegan,Snacks,Lesterstad,3,50
427,Soup,Non-Vegetarian,Lunch,Adambury,3,34
224,Fruits,Non-Vegetarian,Snacks,Brittanyland,3,29
479,Salad,Vegetarian,Breakfast,Basstown,3,2
912,Dairy,Non-Vegetarian,Breakfast,South Jillshire,3,6
233,Fish,Non-Vegetarian,Snacks,West Adammouth,3,19
188,Soup,Vegan,Breakfast,Danachester,3,4
558,Chicken,Vegetarian,Snacks,Port Kevinburgh,3,32
909,Fish,Vegan,Snacks,Lewishaven,3,10
599,Fruits,Vegetarian,Lunch,Muellermouth,3,19
115,Pasta,Vegan,Lunch,East Bernard,3,8
609,Bread,Vegetarian,Breakfast,West Karen,3,38
