"Location","Total_Claims","Total_Volume_Claimed"
East Heatherport,12,348
Lake Andrewmouth,9,334
Jamesfurt,9,299
East John,7,205
South Kathryn,7,228
New Carol,7,186
Thomasville,6,169
Timothychester,6,95
Phillipsfort,6,238
East Stephanie,6,130
Devinmouth,6,80
East Austin,6,71
Williamsmouth,5,74
Clarkberg,5,52
North Stevenbury,5,217
Anneville,5,165
Maxwellburgh,5,83
North Sherrimouth,5,214
Jordanborough,5,73
Lake Stephen,5,146
Frederickside,5,114
East Terrancemouth,5,184
Stevenchester,5,198
New Curtis,5,53
North William,5,130
North Kevinhaven,5,156
Zimmermanville,5,107
Perezport,5,104
South Lisaberg,4,48
Jeffreyshire,4,135
West Billborough,4,48
Jasonmouth,4,122
Carolchester,4,58
New Denise,4,70
Donnaborough,4,108
Port Karen,4,140
Allenton,4,123
Port Robin,4,98
Maysside,4,136
East Tammy,4,50
West Kevin,4,75
Watsonstad,4,111
South Bradleyburgh,4,62
Brittanyside,4,153
Davidville,4,63
Roachhaven,4,180
East Sandratown,4,90
Lewisberg,4,71
West Whitneymouth,4,99
Leslieville,4,171
Bradleyport,4,168
Coleburgh,4,94
Louismouth,4,128
North Mike,4,22
South Stefanietown,4,77
West Adam,4,117
North Ianbury,4,104
New Baileyfort,4,92
South Justinborough,4,192
East Candace,4,61
Russellfurt,3,142
East Roberthaven,3,138
Lake Mistyton,3,81
East Angelafort,3,72
North Keith,3,95
South Alicia,3,123
North James,3,33
Lindseybury,3,54
Mendezmouth,3,96
Woodport,3,41
Cisnerostown,3,56
North Katelyn,3,39
Reidland,3,66
Danachester,3,12
South Christopherborough,3,101
Brittanyville,3,19
Erikatown,3,31
Michaelton,3,105
Port Robertport,3,57
Paulmouth,3,88
Lake April,3,23
Walterborough,3,103
Jasonstad,3,48
Lesterstad,3,150
Michaelport,3,89
West Lauraborough,3,96
Patrickfort,3,54
Port Kevinburgh,3,96
East Andrewland,3,127
New Evanport,3,66
Cunninghambury,3,117
Lindseyland,3,34
North Victoriastad,3,12
New Ginaborough,3,108
North Tom,3,90
West Karen,3,114
Jonathanstad,3,133
Lewishaven,3,30
New John,3,74
Lake Kari,3,69
Cameronside,3,9
Marymouth,3,52
Darrylchester,3,96
Gutierrezshire,3,79
Adambury,3,102
East Elizabethberg,3,98
Harrisonbury,3,78
Lake Amymouth,3,80
New Jessica,3,121
East Bernard,3,24
Joneshaven,3,53
Port Patrick,3,122
North Katherineshire,3,81
Bentleyburgh,3,112
Vazquezshire,3,135
Port Jacob,3,87
Muellermouth,3,57
Toddstad,3,111
Andreaborough,3,90
Manuelhaven,3,31
Basstown,3,6
Hestermouth,3,27
New Travisshire,3,11
South Jillshire,3,18
West Adammouth,3,57
Toddberg,3,62
