"Provider_ID","Provider_Name","Total_Donations_Count","Total_Items_Contributed"
709,Barry Group,6,179
306,"Evans, Wright and Mitchell",4,158
655,Smith Group,5,150
315,Nelson LLC,4,142
678,Ruiz-Oneal,4,140
499,Blankenship-Lewis,3,124
41,Kelly-Ware,3,123
161,Campbell LLC,5,123
262,Bradford-Martinez,4,121
717,Shepherd and Sons,3,116
146,Hampton-Lee,3,116
498,"Jones, Ortega and Rubio",3,115
7,Ortiz-Lee,3,114
139,Johnson-Ray,3,113
846,Miller Inc,4,111
938,Barker LLC,3,110
518,"Hill, Davis and Stewart",3,106
995,Moore Group,4,106
752,Butler-Richardson,4,104
393,Steele Ltd,3,104
478,"Lopez, Roach and Roach",3,102
192,"Hunter, Ballard and Caldwell",3,101
251,Carter-Jones,3,101
98,Hogan-Johnston,3,99
485,Baker-Mcdonald,3,99
332,Cox LLC,4,99
47,Wong-Reese,3,98
242,Aguilar-Frederick,3,98
312,Garcia-Hunter,4,97
888,Schmidt-Alexander,3,97
346,"Phillips, Wolfe and Martin",3,97
705,Brown-Stephens,3,96
4,"Clark, Prince and Williams",3,96
138,"Jones, Rojas and Brown",3,96
826,"Rogers, Harmon and Gordon",3,96
892,Flores-Wade,2,96
357,Carey PLC,3,95
898,Wilson Group,2,94
391,Lambert Ltd,3,94
920,"Hudson, Spence and Perez",2,93
308,Doyle LLC,3,93
5,Coleman-Farley,2,92
208,"Miller, Johnson and Fernandez",2,92
770,Schneider-Suarez,3,92
237,"White, Crawford and Pearson",4,91
783,Cooper LLC,3,90
610,"Kelly, Cummings and Ward",3,90
563,Daniels-Kim,5,90
384,Rogers-Warren,3,89
210,Jones-Miller,3,88
993,Mckinney Ltd,4,88
501,Davis-Kennedy,2,88
176,Allen-Mccullough,3,88
87,"Young, Townsend and Mccarthy",3,87
861,"Rogers, Robbins and Cook",2,87
768,"Davis, Hughes and Leblanc",2,87
609,Torres-Dunlap,2,87
850,"Cooper, Osborn and Clark",2,86
417,"Glover, Wilson and Hudson",2,86
596,"Barnes, Castro and Curtis",3,84
455,Rios Group,3,82
825,"Smith, Lynch and Anderson",3,82
290,"Webb, Phillips and Garcia",2,81
847,"Pollard, Collins and Watson",3,81
205,Thompson Group,2,80
344,"Mcmillan, Gallegos and Perry",2,80
758,Todd Group,3,79
779,Maynard LLC,2,79
57,Cook Group,3,79
910,Lee PLC,2,79
723,Butler-Phillips,2,79
703,Pierce Group,2,78
1,Gonzales-Cochran,2,78
858,"Petersen, Morrison and Woods",2,78
584,Sanders-Hale,2,78
986,"Wilson, Harris and Mayo",2,78
983,"Munoz, Stone and Wallace",2,78
140,Zhang LLC,3,76
71,Jones-Edwards,2,75
484,Nelson-White,2,75
750,Barnes and Sons,2,75
407,Douglas and Sons,2,74
354,Rowe-Arias,2,74
371,"Montgomery, Dominguez and Hopkins",2,74
528,Baird PLC,3,73
632,"Oliver, Ross and Johnson",4,73
253,Gonzales-Keith,2,73
643,Dixon LLC,2,73
113,"Anderson, Nicholson and Bruce",3,73
363,Henry-Terry,2,72
31,Thompson-Kerr,2,72
785,Crane LLC,3,71
365,"Bray, Nguyen and Christensen",2,70
231,Jackson-Robinson,2,70
517,Porter Inc,2,69
835,Smith-Paul,2,69
232,"Snyder, Caldwell and Campbell",2,68
491,Wilkerson-Woods,2,68
287,Carr-Wells,2,68
685,Scott and Sons,2,68
264,Holland and Sons,2,68
196,Owens-Taylor,2,67
890,"Simpson, Mcguire and Brown",3,66
791,Aguilar Group,2,66
368,Smith-Villegas,3,65
523,"Roberts, Howard and Bender",2,65
970,"Lewis, Preston and Price",2,65
554,Jackson Ltd,2,65
602,Cole LLC,2,65
863,Johnson-Mejia,2,64
912,Morrison LLC,2,64
387,Barrera-Ward,3,64
54,"Bennett, Phillips and Green",2,64
319,"Davila, Green and Avila",3,64
62,"Mitchell, Campbell and Jones",3,64
221,Richardson Group,2,64
961,"Davis, Sanchez and Mendez",2,64
347,"Hood, Hoffman and Wright",2,64
162,"Moore, Perez and Young",3,63
697,"Rodriguez, Thomas and Foster",2,63
34,"Cooper, Smith and King",2,63
834,Bruce Inc,2,63
980,Baker Group,2,62
897,Stephens-Braun,2,62
874,Long-Alexander,2,62
967,Miller Inc,3,62
459,Brown Ltd,3,62
421,Glass Inc,2,62
550,"Phelps, Graham and Hayes",3,61
905,Ayers LLC,2,60
631,"Mueller, Savage and Hudson",2,60
101,Chambers-Waters,2,60
810,"Austin, Griffin and Ward",2,59
664,Caldwell PLC,2,59
330,Holloway-Koch,2,59
154,Smith-Turner,3,59
906,Wright LLC,4,59
276,Hodge-Leblanc,2,58
999,Moody Ltd,2,57
66,Lambert-Wilson,2,57
979,Gray PLC,2,57
725,"Nguyen, Chan and Brown",2,56
792,Rogers-Maldonado,2,56
201,Ramirez LLC,2,56
460,"Gutierrez, Anthony and Shannon",3,55
467,"Wilson, Watkins and Moore",2,55
507,Rojas-Cook,2,55
58,"Martin, Tyler and Wilkerson",2,55
904,Smith-Morales,2,55
432,Meyer and Sons,3,55
37,Phelps-Schmidt,2,55
389,Hunt-Lee,2,54
288,Carlson-Mathis,2,53
108,Williams-Cox,3,53
2,"Nielsen, Johnson and Fuller",2,53
135,Dyer Group,2,53
736,Reed LLC,2,52
117,"Morales, Wood and Cox",2,52
538,Beck Inc,2,52
419,"Hanson, Wilkerson and Lee",2,52
556,"Reyes, Houston and Esparza",2,52
504,Small Ltd,2,51
885,"Spears, Anderson and Huffman",2,51
353,Rose-Pearson,2,51
17,Miller Ltd,2,50
238,Decker Group,2,50
185,"Horn, Johnson and Moore",1,50
573,Nelson Ltd,1,50
248,"Oliver, Cross and Gilbert",1,50
157,"Rodriguez, Walker and Singleton",1,50
642,Woodward-Jensen,1,50
619,"Hopkins, Mora and Green",2,50
404,Schmidt Ltd,1,50
909,"Gibbs, Green and Krause",1,50
951,"Hodge, Lee and Washington",1,50
179,"Lucas, Bush and Miller",1,50
494,"Anderson, Adams and Roberts",3,50
240,Marshall Ltd,2,49
712,Payne Inc,1,49
707,"Peterson, Lee and Moore",3,49
403,Bradley-Smith,1,49
20,Drake-Martinez,1,49
471,"Allen, Ramsey and Cortez",1,49
255,"Chapman, Barrett and Lopez",1,49
343,"Harris, Perez and Willis",1,49
873,Parsons and Sons,1,49
566,Cole-Stein,1,49
153,Wu LLC,1,49
908,Martinez-Young,1,48
928,Larson and Sons,2,48
355,Bowman LLC,1,48
763,Manning Ltd,1,48
551,"Holland, Caldwell and Oliver",3,48
901,Galvan Ltd,1,48
292,Lopez-Duffy,1,48
515,"Bowers, Gonzalez and Simmons",2,48
946,"Brock, Newton and Mccormick",1,48
423,Serrano-Lopez,1,48
702,Moreno-Melton,2,48
840,Farmer Ltd,3,48
440,Martinez-Graham,1,48
532,Johnson-Green,2,47
578,Vega Ltd,1,47
634,Morgan-Blackwell,2,47
839,"Roth, Estrada and Vang",1,47
761,"Abbott, Brooks and Moreno",1,47
997,Garza-Williams,1,47
693,Salazar PLC,1,47
16,Brown and Sons,1,47
97,King-Snyder,1,47
340,"Barry, Powers and White",2,47
871,"Burke, Yates and Hicks",1,47
63,"Fuller, Vincent and Fernandez",1,47
1000,Jenkins-Brooks,1,47
74,Johnston Ltd,2,46
495,"Barker, Gibbs and Lopez",1,46
212,"Dennis, Parker and Sanchez",1,46
753,Lawrence-Clark,1,46
217,Williams Ltd,1,46
244,Chan-Elliott,2,46
273,Hammond LLC,2,46
84,Atkins Group,1,46
409,Ayala LLC,1,46
789,Blair Group,1,45
801,Black Group,1,45
937,Taylor Group,1,45
224,Hughes-Jackson,1,45
50,Perez-Williams,2,45
33,"Miranda, Wilcox and Short",1,45
202,Graham-Peters,1,45
567,Clark-Taylor,1,45
351,Berry-Mack,2,45
616,Moore-Flowers,3,44
158,Shepherd Group,1,44
868,"West, Martinez and Warren",2,44
984,Gamble-Davis,2,44
503,Abbott-Robinson,1,44
591,Miller Inc,1,44
815,Brown-Butler,1,44
29,Andrews-Wiley,1,44
701,Pearson-Barry,1,44
241,"Harper, Blake and Alexander",3,44
672,"Ferguson, Henderson and Watson",1,43
110,Figueroa-Soto,1,43
531,Miller Ltd,1,43
548,"House, James and Miller",1,43
798,Jordan LLC,3,43
514,Roy-Hancock,3,43
968,"Robinson, Schaefer and Foster",1,43
310,"Sullivan, Thornton and Peterson",1,43
405,"Mills, Smith and Martin",1,42
592,Chan PLC,1,42
282,"Baker, Gardner and Callahan",1,42
793,Thomas-Flores,2,42
72,"Ward, Shepherd and Krause",2,42
358,Cole-Ochoa,1,42
535,Hill PLC,1,42
735,Koch Inc,2,42
324,Roberts Group,1,42
817,Mullins Ltd,1,42
293,Ibarra and Sons,2,42
716,Wright-Hogan,1,42
582,Wilkerson and Sons,1,42
737,"Ballard, Stanley and Hill",2,42
477,Alvarado LLC,2,42
700,Webster and Sons,1,41
372,Elliott-Jones,2,41
738,Combs Ltd,1,41
